Terytorium;Przyst¹pi³o_zda³o;P³eæ;Rok;Liczba osób
Œl¹skie;przyst¹pi³o;kobiety;2018;14565
Œl¹skie;zda³o;mê¿czyŸni;2010;15412
Œl¹skie;zda³o;kobiety;2010;19030
Œl¹skie;zda³o;mê¿czyŸni;2011;13276
Œl¹skie;zda³o;kobiety;2011;16329
Œl¹skie;zda³o;mê¿czyŸni;2012;13214
Œl¹skie;zda³o;kobiety;2012;16004
Œl¹skie;zda³o;mê¿czyŸni;2013;12800
Œl¹skie;zda³o;kobiety;2013;15785
Œl¹skie;zda³o;mê¿czyŸni;2014;10163
Œl¹skie;zda³o;kobiety;2014;12367
Œl¹skie;zda³o;mê¿czyŸni;2015;10354
Œl¹skie;zda³o;kobiety;2015;12208
Œl¹skie;zda³o;mê¿czyŸni;2016;10086
Œl¹skie;zda³o;kobiety;2016;11963
Œl¹skie;zda³o;mê¿czyŸni;2017;10242
Œl¹skie;zda³o;kobiety;2017;11670
Œl¹skie;zda³o;mê¿czyŸni;2018;9851
Œl¹skie;zda³o;kobiety;2018;11680
Œwiêtokrzyskie;przyst¹pi³o;mê¿czyŸni;2010;5943
Œwiêtokrzyskie;przyst¹pi³o;kobiety;2010;7533
Œwiêtokrzyskie;przyst¹pi³o;mê¿czyŸni;2011;5590
Œwiêtokrzyskie;przyst¹pi³o;kobiety;2011;7252
Œwiêtokrzyskie;przyst¹pi³o;mê¿czyŸni;2012;5442
Œwiêtokrzyskie;przyst¹pi³o;kobiety;2012;7093
Œwiêtokrzyskie;przyst¹pi³o;mê¿czyŸni;2013;5179
